Date,Series,Value
2021-04-12,Average Tone,-0.7575
2021-04-13,Average Tone,-0.5287
2021-04-14,Average Tone,-1.8641
2021-04-15,Average Tone,-1.7366
2021-04-16,Average Tone,-2.5666
2021-04-17,Average Tone,-2.1476
2021-04-18,Average Tone,-2.8696
2021-04-19,Average Tone,-2.6472
2021-04-20,Average Tone,-2.0586
2021-04-21,Average Tone,-2.7053
2021-04-22,Average Tone,-2.0909
2021-04-23,Average Tone,-2.3813
2021-04-24,Average Tone,-2.4064
2021-04-25,Average Tone,-2.68
2021-04-26,Average Tone,-2.2411
2021-04-27,Average Tone,-2.217
2021-04-28,Average Tone,-2.9016
2021-04-29,Average Tone,-2.676
2021-04-30,Average Tone,-2.2792
2021-05-01,Average Tone,-2.5388
2021-05-02,Average Tone,-0.2131
2021-05-03,Average Tone,-1.8198
2021-05-04,Average Tone,-2.2802
2021-05-05,Average Tone,-2.9943
2021-05-06,Average Tone,-3.7166
2021-05-07,Average Tone,-2.0794
2021-05-08,Average Tone,-2.2187
2021-05-09,Average Tone,-2.1552
2021-05-10,Average Tone,-2.3987
2021-05-11,Average Tone,-0.7853
2021-05-12,Average Tone,-1.7486
2021-05-13,Average Tone,-3.3366
2021-05-14,Average Tone,-2.4372
2021-05-15,Average Tone,-2.263
2021-05-16,Average Tone,-2.174
2021-05-17,Average Tone,-1.8993
2021-05-18,Average Tone,-2.2734
2021-05-19,Average Tone,-2.32
2021-05-20,Average Tone,-2.8738
2021-05-21,Average Tone,-2.0872
2021-05-22,Average Tone,-2.7328
2021-05-23,Average Tone,-5.4139
2021-05-24,Average Tone,-3.9347
2021-05-25,Average Tone,-3.0666
2021-05-26,Average Tone,-2.5446
2021-05-27,Average Tone,-2.5932
2021-05-28,Average Tone,-3.1084
2021-05-29,Average Tone,-2.0803
2021-05-30,Average Tone,-2.3555
2021-05-31,Average Tone,-2.5848
2021-06-01,Average Tone,-3.1395
2021-06-02,Average Tone,-2.7492
2021-06-03,Average Tone,-3.1272
2021-06-04,Average Tone,-3.4686
2021-06-05,Average Tone,-3.8941
2021-06-06,Average Tone,-3.5023
2021-06-07,Average Tone,-2.9135
2021-06-08,Average Tone,-1.7648
2021-06-09,Average Tone,-1.695
2021-06-10,Average Tone,-2.6605
2021-06-11,Average Tone,-3.5956
2021-06-12,Average Tone,-1.8831
2021-06-13,Average Tone,-2.7158
2021-06-14,Average Tone,-2.4648
2021-06-15,Average Tone,-2.4209
2021-06-16,Average Tone,-2.731
2021-06-17,Average Tone,-2.374
2021-06-18,Average Tone,-2.5647
2021-06-19,Average Tone,-1.7485
2021-06-20,Average Tone,-2.6334
2021-06-21,Average Tone,-3.5568
2021-06-22,Average Tone,-2.4932
2021-06-23,Average Tone,-1.9005
2021-06-24,Average Tone,-2.1177
2021-06-25,Average Tone,-3.1255
2021-06-26,Average Tone,-2.6101
2021-06-27,Average Tone,-3.0533
2021-06-28,Average Tone,-3.457
2021-06-29,Average Tone,-2.6777
2021-06-30,Average Tone,-4.1142
2021-07-01,Average Tone,-2.3783
2021-07-02,Average Tone,-2.7754
2021-07-03,Average Tone,-2.7362
2021-07-04,Average Tone,-2.6066
2021-07-05,Average Tone,-2.7609
2021-07-06,Average Tone,-2.8295
2021-07-07,Average Tone,-3.5163
2021-07-08,Average Tone,-2.8835
2021-07-09,Average Tone,-2.7898
2021-07-10,Average Tone,-2.8795
2021-07-11,Average Tone,-2.2879
2021-07-12,Average Tone,-2.4724
2021-07-13,Average Tone,-2.8543
2021-07-14,Average Tone,-2.823
2021-07-15,Average Tone,-2.8602
2021-07-16,Average Tone,-3.6061
2021-07-17,Average Tone,-2.498
2021-07-18,Average Tone,-2.0455
2021-07-19,Average Tone,-2.8368
2021-07-20,Average Tone,-3.8068
2021-07-21,Average Tone,-1.9314
2021-07-22,Average Tone,-3.4169
2021-07-23,Average Tone,-2.7967
2021-07-24,Average Tone,-3.5856
2021-07-25,Average Tone,-4.0003
2021-07-26,Average Tone,-2.2575
2021-07-27,Average Tone,-4.8909
2021-07-28,Average Tone,-3.3122
2021-07-29,Average Tone,-3.4189
2021-07-30,Average Tone,-5.5284
2021-07-31,Average Tone,-1.567
2021-08-01,Average Tone,-2.9647
2021-08-02,Average Tone,-2.7604
2021-08-03,Average Tone,-2.5323
2021-08-04,Average Tone,-2.803
2021-08-05,Average Tone,-2.7887
2021-08-06,Average Tone,-2.7097
2021-08-07,Average Tone,-3.7396
2021-08-08,Average Tone,-2.5489
2021-08-09,Average Tone,-2.2825
2021-08-10,Average Tone,-3.172
2021-08-11,Average Tone,-3.7288
2021-08-12,Average Tone,-1.3152
2021-08-13,Average Tone,-1.9745
2021-08-14,Average Tone,-2.1535
2021-08-15,Average Tone,-1.8509
2021-08-16,Average Tone,-2.2563
2021-08-17,Average Tone,-2.5945
2021-08-18,Average Tone,-3.1899
2021-08-19,Average Tone,-2.4076
2021-08-20,Average Tone,-2.2253
2021-08-21,Average Tone,-1.9437
2021-08-22,Average Tone,-2.6121
2021-08-23,Average Tone,-2.2241
2021-08-24,Average Tone,-2.2865
2021-08-25,Average Tone,-2.4791
2021-08-26,Average Tone,-1.9217
2021-08-27,Average Tone,-1.9894
2021-08-28,Average Tone,-2.3279
2021-08-29,Average Tone,-1.706
2021-08-30,Average Tone,-1.4795
2021-08-31,Average Tone,-2.6028
2021-09-01,Average Tone,-1.8951
2021-09-02,Average Tone,-1.5482
2021-09-03,Average Tone,-1.917
2021-09-04,Average Tone,-1.1079
2021-09-05,Average Tone,-1.7495
2021-09-06,Average Tone,-2.3183
2021-09-07,Average Tone,-1.0711
2021-09-08,Average Tone,-1.9058
2021-09-09,Average Tone,-2.2733
2021-09-10,Average Tone,-2.4921
2021-09-11,Average Tone,-2.2277
2021-09-12,Average Tone,-2.1175
2021-09-13,Average Tone,-3.2628
2021-09-14,Average Tone,-2.0677
2021-09-15,Average Tone,-2.2111
2021-09-16,Average Tone,-0.1857
2021-09-17,Average Tone,-1.8175
2021-09-18,Average Tone,-4.0937
2021-09-19,Average Tone,-2.1512
2021-09-20,Average Tone,-1.8921
2021-09-21,Average Tone,-1.9197
2021-09-22,Average Tone,-2.7227
2021-09-23,Average Tone,-2.2814
2021-09-24,Average Tone,-2.6264
2021-09-25,Average Tone,-2.3317
2021-09-26,Average Tone,-1.7609
2021-09-27,Average Tone,-2.1037
2021-09-28,Average Tone,-1.0499
2021-09-29,Average Tone,-2.4099
2021-09-30,Average Tone,-2.6151
2021-10-01,Average Tone,-2.2494
2021-10-02,Average Tone,-3.4567
2021-10-03,Average Tone,-2.147
2021-10-04,Average Tone,-3.7667
2021-10-05,Average Tone,-2.5186
2021-10-06,Average Tone,-2.2173
2021-10-07,Average Tone,-1.9446
2021-10-08,Average Tone,1.9636
2021-10-09,Average Tone,0.3583
2021-10-10,Average Tone,-1.2587
2021-10-11,Average Tone,-1.0026
2021-10-12,Average Tone,-1.3813
2021-10-13,Average Tone,-1.6378
2021-10-14,Average Tone,-2.0446
2021-10-15,Average Tone,-2.1863
2021-10-16,Average Tone,-2.2279
2021-10-17,Average Tone,-1.6985
2021-10-18,Average Tone,-1.7006
2021-10-19,Average Tone,-2.7018
2021-10-20,Average Tone,-2.4195
2021-10-21,Average Tone,-1.7291
2021-10-22,Average Tone,-2.154
2021-10-23,Average Tone,-1.2426
2021-10-24,Average Tone,-1.6741
2021-10-25,Average Tone,-3.136
2021-10-26,Average Tone,-2.1058
2021-10-27,Average Tone,-2.7124
2021-10-28,Average Tone,-2.9496
2021-10-29,Average Tone,-2.3881
2021-10-30,Average Tone,-2.2159
2021-10-31,Average Tone,-1.8339
2021-11-01,Average Tone,-2.5306
2021-11-02,Average Tone,-2.1853
2021-11-03,Average Tone,-2.1384
2021-11-04,Average Tone,-2.5397
2021-11-05,Average Tone,-2.2247
2021-11-06,Average Tone,-1.5588
2021-11-07,Average Tone,-2.3184
2021-11-08,Average Tone,-2.8025
2021-11-09,Average Tone,-1.613
2021-11-10,Average Tone,-1.8228
2021-11-11,Average Tone,-2.4272
2021-11-12,Average Tone,-1.8338
2021-11-13,Average Tone,-2.5448
2021-11-14,Average Tone,-2.2934
2021-11-15,Average Tone,-2.3944
2021-11-16,Average Tone,-3.4725
2021-11-17,Average Tone,-2.5506
2021-11-18,Average Tone,-2.2986
2021-11-19,Average Tone,-2.2652
2021-11-20,Average Tone,-2.09
2021-11-21,Average Tone,-2.5121
2021-11-22,Average Tone,-1.9463
2021-11-23,Average Tone,-2.3863
2021-11-24,Average Tone,-2.6581
2021-11-25,Average Tone,-2.5118
2021-11-26,Average Tone,-1.1736
2021-11-27,Average Tone,-2.0305
2021-11-28,Average Tone,-1.1993
2021-11-29,Average Tone,-2.3367
2021-11-30,Average Tone,-1.5682
2021-12-01,Average Tone,-1.6374
2021-12-02,Average Tone,-1.4015
2021-12-03,Average Tone,-1.1587
2021-12-04,Average Tone,-2.2297
2021-12-05,Average Tone,-1.7725
2021-12-06,Average Tone,-1.7116
2021-12-07,Average Tone,-1.8448
2021-12-08,Average Tone,-1.0278
2021-12-09,Average Tone,-2.0726
2021-12-10,Average Tone,-1.697
2021-12-11,Average Tone,-2.4004
2021-12-12,Average Tone,-2.4284
2021-12-13,Average Tone,-2.1506
2021-12-14,Average Tone,-1.3238
2021-12-15,Average Tone,-3.0038
2021-12-16,Average Tone,-3.4104
2021-12-17,Average Tone,-2.1382
2021-12-18,Average Tone,-0.5339
2021-12-19,Average Tone,-1.6349
2021-12-20,Average Tone,-1.9503
2021-12-21,Average Tone,-1.4944
2021-12-22,Average Tone,-2.3535
2021-12-23,Average Tone,-4.348
2021-12-24,Average Tone,-2.5367
2021-12-25,Average Tone,-2.4787
2021-12-26,Average Tone,-2.717
2021-12-27,Average Tone,-2.2121
2021-12-28,Average Tone,-2.9885
2021-12-29,Average Tone,-3.6979
2021-12-30,Average Tone,-3.1087
2021-12-31,Average Tone,-2.5653
2022-01-01,Average Tone,-1.7621
2022-01-02,Average Tone,-4.8889
2022-01-03,Average Tone,-2.013
2022-01-04,Average Tone,-2.7203
2022-01-05,Average Tone,-2.6479
2022-01-06,Average Tone,-1.4583
2022-01-07,Average Tone,-1.9161
2022-01-08,Average Tone,-3.0756
2022-01-09,Average Tone,-3.2177
2022-01-10,Average Tone,-2.3184
2022-01-11,Average Tone,-1.9276
2022-01-12,Average Tone,-1.8812
2022-01-13,Average Tone,-2.946
2022-01-14,Average Tone,-3.1104
2022-01-15,Average Tone,-4.5715
2022-01-16,Average Tone,-3.069
2022-01-17,Average Tone,-2.9009
2022-01-18,Average Tone,-2.5136
2022-01-19,Average Tone,-1.7457
2022-01-20,Average Tone,-1.8263
2022-01-21,Average Tone,-2.5846
2022-01-22,Average Tone,-2.3378
2022-01-23,Average Tone,-4.6189
2022-01-24,Average Tone,-3.7425
2022-01-25,Average Tone,-1.8576
2022-01-26,Average Tone,-1.8647
2022-01-27,Average Tone,-2.6205
2022-01-28,Average Tone,-2.5049
2022-01-29,Average Tone,-1.5785
2022-01-30,Average Tone,-3.5811
2022-01-31,Average Tone,-1.2948
2022-02-01,Average Tone,-2.266
2022-02-02,Average Tone,-2.2826
2022-02-03,Average Tone,-2.6437
2022-02-04,Average Tone,-2.6837
2022-02-05,Average Tone,-3.53
2022-02-06,Average Tone,-0.4963
2022-02-07,Average Tone,-1.0948
2022-02-08,Average Tone,-1.573
2022-02-09,Average Tone,-1.99
2022-02-10,Average Tone,-1.6579
2022-02-11,Average Tone,-2.5995
2022-02-12,Average Tone,-1.9004
2022-02-13,Average Tone,-1.1554
2022-02-14,Average Tone,-1.4838
2022-02-15,Average Tone,-1.2585
2022-02-16,Average Tone,-1.6051
2022-02-17,Average Tone,-1.9236
2022-02-18,Average Tone,-1.4585
2022-02-19,Average Tone,-1.3411
2022-02-20,Average Tone,-1.1103
2022-02-21,Average Tone,-1.1726
2022-02-22,Average Tone,-1.5146
2022-02-23,Average Tone,-2.2024
2022-02-24,Average Tone,-1.9424
2022-02-25,Average Tone,-1.0562
2022-02-26,Average Tone,-1.2176
2022-02-27,Average Tone,-0.7293
2022-02-28,Average Tone,-1.3972
2022-03-01,Average Tone,-1.8521
2022-03-02,Average Tone,-1.8058
2022-03-03,Average Tone,-1.8731
2022-03-04,Average Tone,-1.6267
2022-03-05,Average Tone,-2.6619
2022-03-06,Average Tone,-2.388
2022-03-07,Average Tone,-1.6281
2022-03-08,Average Tone,-1.5664
2022-03-09,Average Tone,-1.3763
2022-03-10,Average Tone,-1.8241
2022-03-11,Average Tone,-1.965
2022-03-12,Average Tone,-1.5904
2022-03-13,Average Tone,-0.7121
2022-03-14,Average Tone,-2.1251
2022-03-15,Average Tone,-2.3337
2022-03-16,Average Tone,-1.6068
2022-03-17,Average Tone,-1.8088
2022-03-18,Average Tone,-1.7047
2022-03-19,Average Tone,-1.6567
2022-03-20,Average Tone,-0.732
2022-03-21,Average Tone,-0.9705
2022-03-22,Average Tone,-1.7515
2022-03-23,Average Tone,-2.1972
2022-03-24,Average Tone,-1.7736
2022-03-25,Average Tone,-2.1901
2022-03-26,Average Tone,-2.4023
2022-03-27,Average Tone,-0.6448
2022-03-28,Average Tone,-0.8554
2022-03-29,Average Tone,-1.4476
2022-03-30,Average Tone,-1.6304
2022-03-31,Average Tone,-0.9249
2022-04-01,Average Tone,-1.4474
2022-04-02,Average Tone,-0.829
2022-04-03,Average Tone,-0.6655
