Date,Series,Value
2022-02-22,Average Tone,-1.5146
2022-02-23,Average Tone,-2.2024
2022-02-24,Average Tone,-1.9424
2022-02-25,Average Tone,-1.0562
2022-02-26,Average Tone,-1.2176
2022-02-27,Average Tone,-0.7293
2022-02-28,Average Tone,-1.3972
2022-03-01,Average Tone,-1.8521
2022-03-02,Average Tone,-1.8058
2022-03-03,Average Tone,-1.8731
2022-03-04,Average Tone,-1.6267
2022-03-05,Average Tone,-2.6619
2022-03-06,Average Tone,-2.388
2022-03-07,Average Tone,-1.6281
2022-03-08,Average Tone,-1.5664
2022-03-09,Average Tone,-1.3763
2022-03-10,Average Tone,-1.8241
2022-03-11,Average Tone,-1.965
2022-03-12,Average Tone,-1.5904
2022-03-13,Average Tone,-0.7121
2022-03-14,Average Tone,-2.1251
2022-03-15,Average Tone,-2.3337
2022-03-16,Average Tone,-1.6068
2022-03-17,Average Tone,-1.8088
2022-03-18,Average Tone,-1.7047
2022-03-19,Average Tone,-1.6567
2022-03-20,Average Tone,-0.732
2022-03-21,Average Tone,-0.9705
2022-03-22,Average Tone,-1.7515
2022-03-23,Average Tone,-2.1972
2022-03-24,Average Tone,-1.7736
2022-03-25,Average Tone,-2.1901
2022-03-26,Average Tone,-2.4023
2022-03-27,Average Tone,-0.6448
2022-03-28,Average Tone,-0.8554
2022-03-29,Average Tone,-1.4476
2022-03-30,Average Tone,-1.6304
2022-03-31,Average Tone,-0.9249
2022-04-01,Average Tone,-1.4474
2022-04-02,Average Tone,-0.829
2022-04-03,Average Tone,-0.6655
